op,'Estilo','Etiqueta Color','Talla',Suma de 'Q Req',Suma de 'Q Prog',Suma de 'Q Mer',Segundas,OP ESTILO COLOR ,Defecto,CALIDAD,Marca,MINUTAJE COSTURA,TEMPORADA,PRENDA,GRUPO TEJIDO,DISEÑO,DENSIDAD ALAV,DENSIDAD DLAV,'Est Pza','Est Bloque','Est Pda',BORDADO,LAVADO TPA,RUTA,'Descripción Lavados Paños Bloq Pzas','Descripción Lavado Teñido en Prenda','Tipo de Prenda Planeamiento','Tipo de Pedido OComercial',Se trabaja en?,LT Manufac,LT Total,TIPO DE COSTURA,Hilo
304696,S26-W1890X,BIRCH WHIT,XXXL,106,120,0,1,304696S26-W1890XBIRCH WHIT,,,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,20/1
304708,S26-W1890X,CANYON ORA,XXXL,39,46,0,1,304708S26-W1890XCANYON ORA,,,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,31,57,Cost. Remalle,20/1
304714,S26-W1890X,DEEP BURGU,XXXL,98,111,0,1,304714S26-W1890XDEEP BURGU,NUDOS/EMPALME,TERCERA,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,52,57,Cost. Remalle,20/1
304720,S26-W1890X,FADED BLAC,XXXL,178,192,0,1,304720S26-W1890XFADED BLAC,,,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,31,57,Cost. Remalle,20/1
304698,S26-W1890X,MOSS GREEN,XXXL,74,85,0,2,304698S26-W1890XMOSS GREEN,APARIENCIA DE PRENDA,TERCERA,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,31,57,Cost. Remalle,20/1
304710,S26-W1890X,SANDY YELL,XXXL,67,79,0,2,304710S26-W1890XSANDY YELL,MANCHAS Y MIGRADO DE LAVANDERIA,SEGUNDA-A,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,20/1
304730,S26-W1890X,TREELINE G,XXXL,21,26,1,2,304730S26-W1890XTREELINE G,,,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,39,57,Cost. Remalle,20/1
304732,S26-W1890X,TURQUOISE,XXXL,54,62,0,1,304732S26-W1890XTURQUOISE,NUDOS/EMPALME,TERCERA,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,20/1
304745,S26-W10245,BIRCH WHIT,L,364,374,0,3,304745S26-W10245BIRCH WHIT,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,30/1
304745,S26-W10245,BIRCH WHIT,M,297,306,0,6,304745S26-W10245BIRCH WHIT,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,32,57,Cost. Remalle,30/1
