Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000428270000;COTIZACION 60TM SOP - ENERO 2026;NORTE MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 48,300 
4592454000256840000;Licitación 2025 2°trim - SAFRESCO (Chincha);SUR CHICO AGRO;NITRATO DE CALCIO SOLUBLE; 47,328 
4592454000200430000;LECHE ENTERA;Food;LECHE ENTERA; 47,000 
4592454000163500000;ACIDO CITRICO;Food;ACIDO CITRICO; 46,500 
4592454000292850000;COT. SETIEMBRE LABRADOR;SUR MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 46,258 
4592454000179000000;LECHE DESCREMADA;Food;LECHE DESCREMADA; 45,750 
4592454000167880000;MIX SOLUBLES;CENTRO;SULFATO DE POTASIO SOLUBLE; 42,750 
4592454000449260000;LECHE DESCREMADA SPOT MARZO 10 TM;Food;LECHE DESCREMADA; 42,500 
4592454000207490000;BICARBONATO SET-OCT;Feed;BICARBONATO DE SODIO; 42,500 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;NITRATO DE MAGNESIO; 41,581 
4592454000213750000;requerimiento setiembre;CENTRO;NITRATO DE POTASIO SOLUBLE; 40,700 
4592454000295260000;30 TN - ACIDO FOSFORICO;NORTE GRANDE AGRO;ACIDO FOSFORICO FG; 40,500 
4592454000221990000;cotizacion noviembre;SUR MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 39,600 
4592454000228510000;METABISULFITO 60 TM;Food;METABISULFITO DE SODIO; 38,400 
4592454000238760000;LECHE DESCREMADA | FEBRERO 2025;Food;LECHE DESCREMADA; 38,000 
4592454000226380000;cotizacion 2 semestre;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 37,840 
4592454000209050000;ATENCIÓN MAP - SMG | SEPTIEMBRE;SUR GRANDE AGRO;FOSFATO MONOAMONICO SOLUBLE; 37,760 
4592454000200430000;LECHE ENTERA;Food;LECHE ENTERA; 37,600 
4592454000263290000;REQ. ICA 004-006 (mayo-jun);SUR MEDIO AGRO;FOSFATO MONOPOTASICO; 36,800 
4592454000202770000;ATENCIÓN SOLUBLES JULIO;SUR GRANDE AGRO;FOSFATO MONOAMONICO SOLUBLE; 36,600 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;ACIDO FOSFORICO FG; 35,550 
4592454000228680000;MALTODEXTRINA DICIEMBRE- MARZO;Food;MALTODEXTRINA; 35,550 
4592454000220250000;LICITACION FDO LA ESPERANZA;SUR MEDIO AGRO;NITRATO DE AMONIO; 35,325 
4592454000211340000;MALTODEXTRINA HEBEI SEPT- NOV;Food;MALTODEXTRINA; 35,100 
4592454000448510000;COTIZACION FERTILIZANTES MARZO 2026;NORTE MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 34,880 
